No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Photo Url,Season
23,Gary Payton,PG,6'-3'',190,1-Dec-92,us,1,Oregon State University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/paytoga02.jpg,2017-2018
30,Julius Randle,C,6'-9'',250,29-Nov-94,us,3,University of Kentucky,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/randlju01.jpg,2017-2018
7-Mar,Isaiah Thomas,PG,5'-9'',185,7-Feb-89,us,6,University of Washington,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/thomais02.jpg,2017-2018
21,Travis Wear,SF,6'-10'',230,21-Sep-90,us,1,"University of North Carolina, University of California, Los Angeles",https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/weartr01.jpg,2017-2018
6,Derrick Williams,PF,6'-8'',240,25-May-91,us,6,University of Arizona,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/willide02.jpg,2017-2018
40,Ivica Zubac,C,7'-0'',265,18-Mar-97,ba,1,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/zubaciv01.jpg,2017-2018
28,Tarik Black,C,6'-9'',250,22-Nov-91,us,2,"University of Memphis, University of Kansas",https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/blackta01.jpg,2016-2017
3,Corey Brewer,SF,6'-9'',186,5-Mar-86,us,9,University of Florida,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/breweco01.jpg,2016-2017
5,Jose Calderon,PG,6'-3'',200,28-Sep-81,es,11,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/caldejo01.jpg,2016-2017
6,Jordan Clarkson,SG,6'-5'',194,7-Jun-92,us,2,"University of Tulsa, University of Missouri",https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/clarkjo01.jpg,2016-2017
9,Luol Deng,SF,6'-9'',220,16-Apr-85,ss,12,Duke University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/denglu01.jpg,2016-2017
11,Tyler Ennis,PG,6'-3'',194,24-Aug-94,ca,2,Syracuse University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/ennisty01.jpg,2016-2017
